板块名称,时间,名称,相关信息,类型,四舍五入取整,上下午,时间排序
新能源,13:18,电气风电,+8.75%,火箭发射,9,下午,798
注册制次新股,13:18,黄山谷捷,+13.52%,火箭发射,14,下午,798
HIT电池,13:20,阿石创,-5.56%,快速反弹,-6,下午,800
新型工业化,13:22,乔锋智能,+5.96%,火箭发射,6,下午,802
,13:22,沙钢股份,+5.71%,火箭发射,6,下午,802
幽门螺杆菌概念,13:25,可孚医疗,+5.18%,火箭发射,5,下午,805
植物照明,13:25,英飞特,+7.44%,火箭发射,7,下午,805
中药概念,13:34,沃华医药,+7.26%,60日大幅上涨,7,下午,814
冰雪经济,13:35,西藏旅游,-5.74%,快速反弹,-6,下午,815
华为汽车,13:32,海泰科,+6.10%,火箭发射,6,下午,812
并购重组概念,13:30,哈森股份,+5.15%,60日大幅上涨,5,下午,810
微盘股,13:28,杭州高新,+11.76%,火箭发射,12,下午,808
微盘股,13:30,海正生材,+10.48%,火箭发射,10,下午,810
微盘股,13:34,精艺股份,+7.68%,火箭发射,8,下午,814
新型城镇化,13:34,美丽生态,+5.70%,火箭发射,6,下午,814
独家药品,13:36,天目药业,+8.24%,火箭发射,8,下午,816
粤港自贸,13:35,珠海中富,+6.71%,火箭发射,7,下午,815
AIGC概念,14:17,*ST云创,-6.13%,加速下跌,-6,下午,857
AI语料,13:38,读客文化,+5.89%,火箭发射,6,下午,818
AI语料,14:23,慧辰股份,+7.31%,火箭发射,7,下午,863
AI语料,14:24,世纪天鸿,+5.72%,60日大幅上涨,6,下午,864
C2M概念,13:53,奥康国际,+5.79%,火箭发射,6,下午,833
ERP概念,14:21,焦点科技,+6.02%,60日大幅上涨,6,下午,861
ERP概念,14:22,汉得信息,+5.40%,60日大幅上涨,5,下午,862
ERP概念,14:22,汉得信息,+6.09%,火箭发射,6,下午,862
ERP概念,14:22,鼎捷数智,+20.00%,火箭发射,20,下午,862
ERP概念,14:26,赛意信息,+8.12%,火箭发射,8,下午,866
HIT电池,14:22,琏升科技,+5.74%,60日大幅上涨,6,下午,862
ST股,14:26,ST盛屯,+5.05%,60日大幅上涨,5,下午,866
Sora概念,13:54,果麦文化,+19.61%,火箭发射,20,下午,834
Sora概念,14:01,万兴科技,+5.92%,60日大幅上涨,6,下午,841
Sora概念,14:02,博汇科技,+5.34%,60日大幅上涨,5,下午,842
Sora概念,14:13,国投智能,+7.36%,60日大幅上涨,7,下午,853
Sora概念,14:15,国投智能,+7.48%,火箭发射,7,下午,855
Sora概念,14:23,捷成股份,+8.01%,火箭发射,8,下午,863
Sora概念,14:24,万兴科技,+16.59%,火箭发射,17,下午,864
东数西算,13:57,博汇股份,+6.38%,火箭发射,6,下午,837
互联医疗,14:28,数字人,+5.28%,60日大幅上涨,5,下午,868
互联医疗,14:29,数字人,+6.22%,火箭发射,6,下午,869
信创,14:22,博睿数据,+7.09%,火箭发射,7,下午,862
免疫治疗,14:25,安必平,+5.04%,火箭发射,5,下午,865
减速器,14:01,横河精密,-10.77%,快速反弹,-11,下午,841
可控核聚变,13:40,融发核电,+6.56%,火箭发射,7,下午,820
国产软件,14:25,中望软件,+5.76%,火箭发射,6,下午,865
国产软件,14:26,卓易信息,+7.31%,60日大幅上涨,7,下午,866
国产软件,14:27,卓易信息,+8.03%,火箭发射,8,下午,867
国产软件,14:28,品茗科技,+6.19%,60日大幅上涨,6,下午,868
婴童概念,14:08,安正时尚,-5.30%,快速反弹,-5,下午,848
存储芯片,14:26,东芯股份,-10.75%,加速下跌,-11,下午,866
工程机械概念,13:39,恒立钻具,+6.91%,火箭发射,7,下午,819
幽门螺杆菌概念,13:56,科拓生物,+15.47%,火箭发射,15,下午,836
影视概念,13:37,幸福蓝海,-8.96%,加速下跌,-9,下午,817
影视概念,13:53,幸福蓝海,-6.50%,快速反弹,-7,下午,833
微盘股,13:40,福事特,+6.87%,火箭发射,7,下午,820
微盘股,13:46,恒誉环保,+7.75%,火箭发射,8,下午,826
微盘股,13:47,睿昂基因,+6.50%,火箭发射,6,下午,827
微盘股,14:19,普元信息,+13.11%,火箭发射,13,下午,859
微盘股,14:23,金利华电,-6.36%,加速下跌,-6,下午,863
快递概念,14:02,绿通科技,+6.93%,火箭发射,7,下午,842
快递概念,14:02,绿通科技,+7.31%,60日大幅上涨,7,下午,842
数字孪生,14:16,深桑达Ａ,+9.90%,火箭发射,10,下午,856
数字孪生,14:19,索辰科技,+7.93%,60日大幅上涨,8,下午,859
数字孪生,14:20,索辰科技,+8.01%,火箭发射,8,下午,860
数据要素,13:40,深水规院,+7.25%,火箭发射,7,下午,820
数据要素,14:20,*ST广道,+6.54%,快速反弹,7,下午,860
数据要素,14:22,鸿泉物联,+5.02%,60日大幅上涨,5,下午,862
数据要素,14:27,通达海,+7.85%,火箭发射,8,下午,867
数据要素,14:28,每日互动,+5.07%,60日大幅上涨,5,下午,868
新型城镇化,13:42,东珠生态,+7.31%,快速反弹,7,下午,822
无人机,14:12,北方长龙,-5.25%,快速反弹,-5,下午,852
智慧城市,14:29,立方控股,+16.42%,火箭发射,16,下午,869
核能核电,13:40,戈碧迦,+9.86%,火箭发射,10,下午,820
民爆概念,13:41,保利联合,-7.05%,快速反弹,-7,下午,821
水利建设,14:12,航天动力,+7.24%,60日大幅上涨,7,下午,852
汽车芯片,14:13,思瑞浦,+5.36%,60日大幅上涨,5,下午,853
注册制次新股,14:12,新恒汇,+19.67%,火箭发射,20,下午,852
流感,14:23,南新制药,-5.48%,加速下跌,-5,下午,863
肝炎概念,14:09,广生堂,-10.37%,加速下跌,-10,下午,849
股权转让,14:18,东望时代,+6.35%,火箭发射,6,下午,858
跨境电商,13:51,龙竹科技,+7.30%,火箭发射,7,下午,831
退税商店,14:09,茂业商业,+7.94%,火箭发射,8,下午,849
降解塑料,13:58,道恩股份,-7.32%,加速下跌,-7,下午,838
